lossy_count memory usage (k=100)
\begin{tabular}{lllrrr}
\hline
 Word                & isNewWord   & Word Count   &   Delta &   Memory Usage &   \#Buckets \\
\hline
 take                & False       & 4            &       3 &          18824 &        154 \\
 wall                & True        & 4            &       3 &          18880 &        155 \\
 man                 & True        & 4            &       3 &          18936 &        156 \\
 maid                & True        & 4            &       3 &          18992 &        157 \\
 montague’s          & True        & 4            &       3 &          19088 &        158 \\
 gregory             & False       & 10           &       3 &          19088 &        158 \\
 shows               & True        & 4            &       3 &          19144 &        159 \\
 thee                & True        & 4            &       3 &          19200 &        160 \\
 weak                & True        & 4            &       3 &          19256 &        161 \\
 slave               & True        & 4            &       3 &          19312 &        162 \\
 weakest             & True        & 4            &       3 &          19368 &        163 \\
 goes                & True        & 4            &       3 &          19424 &        164 \\
 wall                & False       & 5            &       3 &          19424 &        164 \\
 sampson             & False       & 10           &       3 &          19392 &        164 \\
 true                & True        & 4            &       3 &          19448 &        165 \\
 therefore           & False       & 5            &       3 &          19448 &        165 \\
 women               & False       & 4            &       3 &          19448 &        165 \\
 weaker              & True        & 4            &       3 &          19504 &        166 \\
 vessels             & True        & 4            &       3 &          19560 &        167 \\
 ever                & True        & 4            &       3 &          19616 &        168 \\
 thrust              & True        & 4            &       3 &          19672 &        169 \\
 wall                & False       & 6            &       3 &          19672 &        169 \\
 therefore           & False       & 6            &       3 &          19672 &        169 \\
 push                & True        & 4            &       3 &          19728 &        170 \\
 montague’s          & False       & 5            &       3 &          19728 &        170 \\
 men                 & False       & 4            &       3 &          19728 &        170 \\
 wall                & False       & 7            &       3 &          19728 &        170 \\
 thrust              & False       & 5            &       3 &          19728 &        170 \\
 maids               & True        & 4            &       3 &          19784 &        171 \\
 wall                & False       & 8            &       3 &          19784 &        171 \\
 gregory             & False       & 11           &       3 &          19816 &        171 \\
 quarrel             & True        & 4            &       3 &          19872 &        172 \\
 masters             & True        & 4            &       3 &          19928 &        173 \\
 us                  & True        & 4            &       3 &          19984 &        174 \\
 men                 & False       & 5            &       3 &          19984 &        174 \\
 sampson             & False       & 11           &       3 &          19984 &        174 \\
 ’tis                & True        & 4            &       4 &          14736 &         86 \\
 one                 & True        & 5            &       4 &          14792 &         87 \\
 show                & True        & 5            &       4 &          14848 &         88 \\
 tyrant              & True        & 5            &       4 &          14904 &         89 \\
 fought              & True        & 5            &       4 &          14960 &         90 \\
 men                 & False       & 6            &       4 &          14960 &         90 \\
 civil               & False       & 5            &       4 &          14960 &         90 \\
 maids               & False       & 5            &       4 &          14960 &         90 \\
 cut                 & True        & 5            &       4 &          15016 &         91 \\
 heads               & True        & 5            &       4 &          15072 &         92 \\
 gregory             & False       & 12           &       4 &          15104 &         92 \\
 heads               & False       & 6            &       4 &          15104 &         92 \\
 maids               & False       & 6            &       4 &          15104 &         92 \\
 sampson             & False       & 12           &       4 &          15072 &         92 \\
 ay                  & False       & 5            &       4 &          15072 &         92 \\
 heads               & False       & 7            &       4 &          15072 &         92 \\
 maids               & False       & 7            &       4 &          15072 &         92 \\
 maidenheads         & True        & 5            &       4 &          15136 &         93 \\
 take                & False       & 5            &       4 &          15136 &         93 \\
 sense               & True        & 5            &       4 &          15192 &         94 \\
 thou                & False       & 7            &       4 &          15192 &         94 \\
 wilt                & True        & 5            &       4 &          15248 &         95 \\
 gregory             & False       & 13           &       4 &          15280 &         95 \\
 must                & True        & 5            &       4 &          15336 &         96 \\
 take                & False       & 6            &       4 &          15336 &         96 \\
 sense               & False       & 6            &       4 &          15336 &         96 \\
 feel                & True        & 5            &       4 &          15392 &         97 \\
 sampson             & False       & 13           &       4 &          15360 &         97 \\
 shall               & False       & 6            &       4 &          15360 &         97 \\
 feel                & False       & 6            &       4 &          15360 &         97 \\
 able                & True        & 5            &       4 &          15416 &         98 \\
 stand               & False       & 6            &       4 &          15416 &         98 \\
 ’tis                & False       & 5            &       4 &          15416 &         98 \\
 known               & True        & 5            &       4 &          15472 &         99 \\
 pretty              & True        & 5            &       4 &          15528 &        100 \\
 piece               & True        & 5            &       4 &          15584 &        101 \\
 flesh               & True        & 5            &       4 &          15640 &        102 \\
 gregory             & False       & 14           &       4 &          15672 &        102 \\
 ’tis                & False       & 6            &       4 &          15672 &        102 \\
 well                & True        & 5            &       4 &          15728 &        103 \\
 thou                & False       & 8            &       4 &          15728 &        103 \\
 art                 & False       & 6            &       4 &          15728 &        103 \\
 fish                & True        & 5            &       4 &          15784 &        104 \\
 thou                & False       & 9            &       4 &          15816 &        104 \\
 hadst               & True        & 5            &       4 &          15872 &        105 \\
 thou                & False       & 10           &       4 &          15840 &        105 \\
 hadst               & False       & 6            &       4 &          15840 &        105 \\
 poor                & True        & 5            &       4 &          15896 &        106 \\
 john                & True        & 5            &       4 &          15952 &        107 \\
 draw                & False       & 6            &       4 &          15952 &        107 \\
 thy                 & True        & 5            &       4 &          16008 &        108 \\
 tool                & True        & 5            &       4 &          16064 &        109 \\
 comes               & True        & 5            &       4 &          16120 &        110 \\
 house               & False       & 9            &       4 &          16152 &        110 \\
 montagues           & True        & 5            &       4 &          16216 &        111 \\
 enter               & False       & 5            &       4 &          16216 &        111 \\
 abram               & True        & 5            &       4 &          16272 &        112 \\
 balthasar           & True        & 5            &       4 &          16336 &        113 \\
 sampson             & False       & 14           &       4 &          16304 &        113 \\
 naked               & True        & 5            &       4 &          16360 &        114 \\
 weapon              & True        & 5            &       4 &          16416 &        115 \\
 quarrel             & False       & 5            &       4 &          16416 &        115 \\
 back                & True        & 5            &       4 &          16472 &        116 \\
 thee                & False       & 5            &       4 &          16472 &        116 \\
 gregory             & False       & 15           &       4 &          16504 &        116 \\
 turn                & True        & 5            &       4 &          16560 &        117 \\
 thy                 & False       & 6            &       4 &          16560 &        117 \\
 back                & False       & 6            &       4 &          16560 &        117 \\
 run                 & True        & 5            &       4 &          16616 &        118 \\
 sampson             & False       & 15           &       4 &          16584 &        118 \\
 fear                & True        & 5            &       4 &          16640 &        119 \\
 gregory             & False       & 16           &       4 &          16672 &        119 \\
 marry               & True        & 5            &       4 &          16728 &        120 \\
 fear                & False       & 6            &       4 &          16728 &        120 \\
 thee                & False       & 6            &       4 &          16728 &        120 \\
 sampson             & False       & 16           &       4 &          16696 &        120 \\
 let                 & True        & 5            &       4 &          16752 &        121 \\
 us                  & False       & 5            &       4 &          16752 &        121 \\
 take                & False       & 7            &       4 &          16752 &        121 \\
 law                 & True        & 5            &       4 &          16808 &        122 \\
 sides               & True        & 5            &       4 &          16864 &        123 \\
 let                 & False       & 6            &       4 &          16864 &        123 \\
 begin               & True        & 5            &       4 &          16920 &        124 \\
